Medicine Name,Current Stock,Average Daily Sales,Category,Expiry Date
Amoxicillin 500mg,40,15,Antibiotic,2026-08-20
Insulin Glargine,18,9,Diabetes,2026-07-30
Paracetamol 500mg,100,20,Analgesic,2027-07-05
Azithromycin 250mg,55,9,Antibiotic,2026-07-15
Metformin 850mg,25,12,Diabetes,2027-11-01
Atorvastatin 20mg,210,14,Cardiac,2028-05-20
Amlodipine 5mg,320,18,Cardiac,2028-02-10
Omeprazole 20mg,90,16,Gastro,2026-10-18
Salbutamol Inhaler,30,6,Respiratory,2026-07-10
Cetirizine 10mg,140,10,Antihistamine,2027-09-12
Vitamin C 500mg,500,0,Supplement,2027-04-16
Cough Syrup 100ml,260,0.1,Respiratory,2026-09-03
Multivitamin Tablets,800,0,Supplement,2028-12-06
Ciprofloxacin 500mg,70,8,Antibiotic,2027-01-06
Losartan 50mg,45,10,Cardiac,2026-07-05
Ibuprofen 400mg,180,22,Analgesic,2027-02-25
Pantoprazole 40mg,60,14,Gastro,2026-06-15
Levothyroxine 100mcg,130,9,Thyroid,2027-08-14
Aspirin 75mg,240,16,Cardiac,2027-05-26
Montelukast 10mg,35,7,Respiratory,2026-09-13
