Medicine Name,Supplier Name,Unit Price,Lead Time,Available Quantity
Amoxicillin 500mg,ABC Pharma,8.5,2,1000
Amoxicillin 500mg,XYZ Distributors,7.9,3,2000
Amoxicillin 500mg,MedLine Supply,8.2,1,800
Insulin Glargine,ColdChain Pharma,42.0,3,300
Insulin Glargine,ABC Pharma,44.5,2,200
Paracetamol 500mg,ABC Pharma,6.0,2,5000
Paracetamol 500mg,XYZ Distributors,5.4,3,8000
Azithromycin 250mg,MedLine Supply,14.0,2,1200
Azithromycin 250mg,XYZ Distributors,13.2,4,1500
Metformin 850mg,ABC Pharma,5.5,2,4000
Metformin 850mg,Generix Health,5.1,3,6000
Atorvastatin 20mg,Generix Health,7.2,3,3000
Amlodipine 5mg,ABC Pharma,4.8,2,5000
Omeprazole 20mg,XYZ Distributors,6.4,3,4000
Salbutamol Inhaler,MedLine Supply,22.0,2,600
Salbutamol Inhaler,ColdChain Pharma,21.0,4,900
Cetirizine 10mg,Generix Health,3.2,3,7000
Ciprofloxacin 500mg,MedLine Supply,11.5,2,1500
Ciprofloxacin 500mg,ABC Pharma,10.9,3,1200
Losartan 50mg,Generix Health,6.8,3,3500
Losartan 50mg,ABC Pharma,7.1,2,2000
Ibuprofen 400mg,XYZ Distributors,4.5,3,9000
Pantoprazole 40mg,Generix Health,7.0,3,2500
Levothyroxine 100mcg,ColdChain Pharma,8.0,3,1800
Aspirin 75mg,ABC Pharma,2.0,2,10000
Montelukast 10mg,MedLine Supply,12.0,2,1100
